Accession	126C	127-N	127C	128-N	128C	129-N	129C	130-N	130C
sp|P11978|SIR4_YEAST	281410	268230	308350	291100	289120	290610	257290	224310	249190
sp|P11986|INO1_YEAST	620830	558150	634520	148750	192180	161960	2757300	2230600	2480000
sp|P12383|PDR1_YEAST	428790	362710	411430	360890	315420	332670	384280	332040	388610
sp|P12385|ERF1_YEAST	801260	717010	870680	1397700	1596500	1485200	652430	557170	516650
sp|P12611|WHI2_YEAST	108730	97245	113720	121300	116220	115160	117040	96744	108800
sp|P12612|TCPA_YEAST	307600	289020	332570	515940	528060	539180	301990	254840	270300
sp|P12683|HMDH1_YEAST	153140	146740	168420	206430	234350	206020	261670	230650	245300
sp|P12684|HMDH2_YEAST	563050	489550	554760	614840	549240	594170	624900	561940	608890
sp|P12685|TRK1_YEAST	241410	191650	228100	113730	113560	109290	169540	131960	170120
sp|P12686|RT13_YEAST	166580	162340	174700	240050	229770	240600	240190	189620	210470
sp|P12687|RM02_YEAST	331660	320120	373870	332930	316510	310300	397930	338540	364200
sp|P12688|YPK1_YEAST	513770	450920	529560	559490	554050	584250	421390	353260	366960
sp|P12695|ODP2_YEAST	717420	689650	871200	1377700	1602500	1510000	1268000	1042000	996230
sp|P12709|G6PI_YEAST	2070700	1879600	2220700	2626300	2353800	2333900	2619300	2117700	2232300
sp|P12753|RAD50_YEAST	365640	346650	389980	344660	381840	368880	346440	300500	309090
sp|P12754|EI2BD_YEAST	314310	270230	320500	265800	236000	245240	279540	229530	262740
sp|P12868|PEP5_YEAST	590170	506740	591290	568750	546530	561220	562520	484860	526120
sp|P12887|UNG_YEAST	62306	62306	66648	63127	57954	60434	34702	31329	33254
sp|P12904|AAKG_YEAST	297030	269050	300450	401260	329660	361680	270680	231300	242060
sp|P12945|NAT1_YEAST	1176400	1050700	1295200	1632900	1545600	1584100	1025500	850470	884700
sp|P12954|SRS2_YEAST	82614	70076	78692	32614	24119	26847	46148	43439	51522
sp|P12962|CAF20_YEAST	110150	101230	122130	186540	157460	142650	102740	87366	89024
sp|P13045|GAL3_YEAST	430200	318120	409380	60877	55701	41507	31994	27218	27268
sp|P13090|ATR1_YEAST	5820.8	6493.4	6418.5	7581.2	7462.2	8471.3	3572.9	4029.8	3998.9
sp|P13134|KEX2_YEAST	98223	97250	108310	160740	167530	180980	101570	95973	94136
sp|P13181|GAL2_YEAST	2684300	1856300	2385200	180520	162690	68071	41694	36586	38113
sp|P13185|KIN1_YEAST	728570	703780	815240	774300	732660	735390	1169600	971150	1122100
sp|P13186|KIN2_YEAST	390970	367430	406290	396570	367540	375500	471030	409950	449370
sp|P13188|SYQ_YEAST	1979800	1738300	2041600	2138000	2040300	2102700	1807700	1580200	1645500
sp|P13259|PCY1_YEAST	358720	317830	381520	320050	311430	305540	291370	238600	263300
sp|P13298|PYRE_YEAST	404940	385860	463510	647800	579750	610960	598420	470610	671630
sp|P13382|DPOA_YEAST	406740	365150	419430	421970	382590	395700	274590	237030	234830
sp|P13393|TBP_YEAST	121620	109500	133470	179670	143300	175690	155220	115340	132560
sp|P13433|RPOM_YEAST	105650	97246	118880	204680	186810	198270	114040	97882	100860
sp|P13434|HAP3_YEAST	8006.9	8077.5	8488.5	3431.4	3731.2	3633.6	6230.9	5165.7	5739.2
sp|P13517|CAPZB_YEAST	123090	119550	134360	254490	233590	229140	111370	92541	93362
sp|P13574|STE12_YEAST	70667	67737	77686	82689	80965	79199	83327	74156	76624
sp|P13586|ATC1_YEAST	566380	488690	580300	567760	559150	550510	656040	581310	619190
sp|P13587|ATN1_YEAST	220310	206930	235740	227600	231400	230860	638040	542410	596340
sp|P13663|DHAS_YEAST	982960	840870	1072500	1499500	1621900	1512700	857260	688920	715590
sp|P13711|ACOX_YEAST	427730	389640	416990	484410	443590	478910	1669300	1411500	1595100
sp|P13712|MSI1_YEAST	44056	43728	47740	78244	79884	85212	68514	58611	60499
sp|P13856|RSR1_YEAST	239590	221170	260660	241190	235260	230530	157060	133130	146250
sp|P13902|INO4_YEAST	1149.8	1380.9	1281.5	1958.8	1877.3	1545.3	1180	1263.7	1250.6
sp|P14020|DPM1_YEAST	320320	329230	389520	574570	604380	563270	769270	669680	646840
sp|P14063|RM31_YEAST	126290	107330	137120	59477	57167	54947	95299	79805	93383
sp|P14065|GCY1_YEAST	1067500	794640	1158600	151780	162400	118280	214430	176470	182790
sp|P14066|CBS1_YEAST	24045	23165	23424	32967	28177	32334	26457	23665	24659
sp|P14120|RL30_YEAST	242680	216380	242590	544390	491230	506000	206890	185580	171840
sp|P14126|RL3_YEAST	1334400	1410600	1666800	2874100	2690200	2792500	1842200	1571600	1536800
sp|P14164|ABF1_YEAST	159850	151540	169980	299190	305950	312160	176290	152540	167450
sp|P14180|CHS2_YEAST	10482	9605.8	11644	18893	16697	18116	8650.4	7792.1	8200.8
sp|P14242|PMS1_YEAST	81451	65213	81274	48629	44228	40399	55146	45999	49655
sp|P14284|DPOZ_YEAST	17575	20263	20546	19249	16422	17597	21724	19629	21982
sp|P14306|CPYI_YEAST	471920	429040	525510	330100	329960	299400	605770	488500	560620
sp|P14359|SNA3_YEAST	32714	25773	30071	26560	20449	25385	43802	39985	47297
sp|P14540|ALF_YEAST	2271400	2010400	2444100	4568500	4897000	4501400	2766500	2192600	2299600
sp|P14680|YAK1_YEAST	295320	263200	303660	281270	271720	276480	410600	361550	395280
sp|P14681|KSS1_YEAST	84158	78800	88830	126400	115560	125290	53745	50284	44725
sp|P14682|UBC3_YEAST	107520	88085	104780	77721	67977	68832	81183	64106	84143
sp|P14693|SAM35_YEAST	106450	97961	106650	123710	110400	118170	112680	95609	106360
sp|P14736|RAD4_YEAST	186640	174130	194330	177410	155350	169940	256750	222790	246730
sp|P14737|RAD9_YEAST	200170	190480	211970	137970	134770	127630	209660	180270	204260
sp|P14741|EI2BA_YEAST	173220	152410	174100	255730	216210	243750	131520	101910	117030
sp|P14742|GFA1_YEAST	739090	686950	788750	936620	881110	913100	749800	643090	661390
sp|P14743|NMT_YEAST	518300	443280	540440	752290	687740	737600	442970	355350	362140
sp|P14747|PP2B2_YEAST	340640	312390	354590	234750	215760	215140	251170	210780	295760
sp|P14772|BPT1_YEAST	462670	401400	439000	298810	321880	298070	408100	356910	396330
sp|P14832|CYPH_YEAST	843640	801560	939500	1370900	1422300	1318800	1419300	1124000	1165900
sp|P14843|AROF_YEAST	331220	283650	338970	479490	486590	463530	264130	230110	247880
sp|P14904|AMPL_YEAST	807510	703420	834390	702220	685150	660220	711860	580120	643850
sp|P14905|CBS2_YEAST	90924	83993	92515	97329	81364	89384	100310	81552	95134
sp|P14906|SEC63_YEAST	513400	430050	504320	575920	577190	589550	616960	511790	597670
sp|P14907|NSP1_YEAST	335810	337420	434800	636040	820240	706550	413600	307600	278920
sp|P14908|MTF1_YEAST	123030	122630	134430	156210	140380	147670	159310	143360	145890
sp|P14922|CYC8_YEAST	353270	311970	378830	464100	462930	457790	326190	285350	271540
sp|P15019|TAL1_YEAST	2709700	2355800	2853100	2373600	2057200	2224100	1970100	1548400	1873100
sp|P15108|HSC82_YEAST	4205900	3831400	4783400	4718300	4631800	4665700	3261900	2663000	2684800
sp|P15179|SYDM_YEAST	170090	164590	181620	186550	163960	167660	238750	204940	211590
sp|P15180|SYKC_YEAST	1325100	1171700	1340000	1812700	1774900	1844100	935350	792520	842930
sp|P15202|CATA_YEAST	16236	15737	16960	24939	24944	25307	181590	138380	174330
sp|P15274|AMPD_YEAST	595820	514770	627370	683310	681840	678940	640800	545150	592570
sp|P15303|SEC23_YEAST	388750	337210	396040	610160	610650	624560	302950	254480	265590
sp|P15367|SEC11_YEAST	154260	131100	155980	116420	97600	105310	193210	160770	179250
sp|P15380|PUT4_YEAST	30019	29199	31665	63264	56482	65271	196670	172610	184910
sp|P15424|MS116_YEAST	421930	419630	467720	711630	677650	723630	522570	457710	467180
sp|P15436|DPOD_YEAST	414710	378140	433500	501900	491730	511990	340820	277700	301870
sp|P15442|GCN2_YEAST	538190	493120	556380	457210	418010	422120	580410	503950	569730
sp|P15454|KGUA_YEAST	501810	477550	601640	744680	794220	708520	554100	449200	461960
sp|P15496|IDI1_YEAST	238430	203210	248910	339550	374740	368130	214000	165120	171850
sp|P15565|TRM1_YEAST	405570	381050	445530	470830	453880	444060	435600	347940	396960
sp|P15624|SYFB_YEAST	475500	472380	563290	1216500	1320600	1286000	517240	437480	392780
sp|P15625|SYFA_YEAST	666160	662690	786310	1010200	1054700	1007600	713660	584330	575420
sp|P15646|FBRL_YEAST	309540	317990	386020	541050	526350	543620	338340	281820	268420
sp|P15700|KCY_YEAST	322850	309520	355290	283310	279290	273000	250480	219670	235200
sp|P15703|BGL2_YEAST	480670	390280	474620	163500	170890	152340	821190	676420	856030
sp|P15705|STI1_YEAST	1371600	1334900	1618900	1551000	1746300	1579600	1352200	1107000	1132200
sp|P15731|UBC4_YEAST;sp|P15732|UBC5_YEAST	68586	58505	73041	84596	62942	78893	42126	32622	33931
sp|P15790|CSK21_YEAST	361930	307080	361900	380400	363970	356050	289300	255440	276790
sp|P15801|DPOG_YEAST	36675	35121	36150	38706	35444	37318	39456	37644	38646
sp|P15807|MET8_YEAST	115650	97631	111540	77894	67116	71056	76325	65644	78204
sp|P15873|PCNA_YEAST	609940	495590	608850	666790	721230	629740	422860	315210	321040
sp|P15891|ABP1_YEAST	1660300	1515800	1837300	1582000	1616200	1549300	2110700	1738800	1825700
sp|P15938|PRP16_YEAST	151220	135300	157700	134620	122710	121760	147860	127720	144350
sp|P15992|HSP26_YEAST	2220800	2380700	2611500	1524200	1623400	1482800	10282000	8069300	9474800
sp|P16120|THRC_YEAST	1150700	1093500	1292800	1703200	1324500	1415900	1375000	1316700	1348500
sp|P16140|VATB_YEAST	783400	754640	873820	1361700	1498300	1419900	747280	649680	631510
sp|P16151|ERD1_YEAST	6315.5	5344.4	6862.5	6081.3	4936.3	5312.2	6108.7	5364.6	6127.1
sp|P16370|RPB3_YEAST	157290	137710	157510	122870	115280	111510	125030	106940	119240
sp|P16387|ODPA_YEAST	926270	797080	933050	1051900	986080	1010600	998960	876980	958380
sp|P16451|ODPX_YEAST	296120	290670	346270	360890	369070	358050	434880	364230	410540
sp|P16467|PDC5_YEAST	40374	44325	63757	706040	698720	751940	40040	51524	30519
sp|P16474|BIP_YEAST	1765000	1690000	1959900	1730000	1728200	1669900	3287200	2790200	2963400
sp|P16521|EF3A_YEAST	2592200	2347700	2910400	4620900	4649900	4659200	1506700	1302400	1246400
sp|P16522|CDC23_YEAST	131230	111610	121970	101230	91679	92008	97734	87032	97663
sp|P16547|OM45_YEAST	1124700	1047300	1187400	702000	698710	674930	3650400	3124600	3414100
sp|P16550|APA1_YEAST	342960	312880	375050	840950	796450	852220	333150	285510	264620
sp|P16603|NCPR_YEAST	713420	663340	797550	852840	854930	832600	837990	712590	744640
sp|P16622|HEMH_YEAST	142090	134140	149420	202880	212750	198540	198530	165590	167920
sp|P16639|ATE1_YEAST	227000	213900	238510	251800	232680	240000	199360	177290	190610
sp|P16649|TUP1_YEAST	276560	268080	309170	357590	380720	359250	375370	327680	361090
sp|P16658|SEN2_YEAST	129700	111310	126090	80718	69796	74820	106340	88872	107630
sp|P16661|ALG1_YEAST	268760	234560	270740	176260	169980	158030	237930	202430	231410
sp|P16664|RGP1_YEAST	90157	76964	92639	80354	77381	71725	106480	89480	108190
sp|P16861|PFKA1_YEAST	1756400	1627100	1935600	3012200	3141100	3068900	1686600	1408800	1442200
sp|P16862|PFKA2_YEAST	990610	896340	1070200	1582800	1627400	1596100	904570	769480	765370
sp|P16892|FUS3_YEAST	27872	27072	29975	49026	47367	52800	32663	25373	28685
sp|P16965|STF2_YEAST	204620	153510	185460	63342	59400	60089	291310	230830	286750
sp|P17064|FCY2_YEAST	30045	27349	32943	38681	43804	40692	48618	40454	44220
sp|P17065|SEC2_YEAST	206600	199240	231730	318110	311380	317080	281490	241720	254880
sp|P17076|RL8A_YEAST	78285	76485	88808	281550	304380	317100	74986	63587	57481
sp|P17106|CBF1_YEAST	350470	353200	391800	296790	298140	294360	384320	316820	335730
sp|P17119|KAR3_YEAST	143740	136210	151190	154500	153620	153950	104850	91172	100440
sp|P17121|SAC7_YEAST	427010	356180	415700	285520	250710	260290	515450	445640	501830
sp|P17157|PHO85_YEAST	262770	215500	253030	310070	257350	290140	179360	148630	162990
sp|P17255|VATA_YEAST	3082700	2955300	3402700	4123700	3952400	3950400	3056700	2592900	2706600
sp|P17261|ERS1_YEAST	54319	42642	52201	29221	23862	25761	45143	40652	50443
sp|P17423|KHSE_YEAST	166620	153630	174190	247630	241520	232630	186080	158520	164320
sp|P17442|PHO81_YEAST	318080	259040	311070	335710	331730	312310	361430	290540	336520
sp|P17505|MDHM_YEAST	876730	843810	957150	1282400	1369000	1213000	1644700	1321500	1314500
sp|P17536|TPM1_YEAST	341530	336060	408160	454870	562300	474720	324290	246220	258010
